time,open,high,low,close
2022-08-25T17:00:00+01:00,1701.46,1712.53,1690.81,1706.62
2022-08-25T21:00:00+01:00,1707.64,1712.32,1684.65,1695.87
2022-08-26T01:00:00+01:00,1692.88,1694.31,1672.82,1687.56
2022-08-26T05:00:00+01:00,1687.61,1687.97,1643.54,1660.56
2022-08-26T09:00:00+01:00,1660.48,1666.31,1623.65,1629.45
2022-08-26T13:00:00+01:00,1630.27,1703.66,1588.09,1593.25
2022-08-26T17:00:00+01:00,1593.26,1599.14,1540.37,1559.89
2022-08-26T21:00:00+01:00,1560.02,1568.76,1488.58,1508.73
2022-08-27T01:00:00+01:00,1508.58,1518.41,1484.58,1502.05
2022-08-27T05:00:00+01:00,1501.94,1509.46,1472.3,1507.93
2022-08-27T09:00:00+01:00,1508.14,1510.98,1496.06,1505.43
2022-08-27T13:00:00+01:00,1505.44,1509.26,1458.02,1470.72
2022-08-27T17:00:00+01:00,1470.72,1483.94,1449.23,1480.13
2022-08-27T21:00:00+01:00,1480.17,1498.49,1459.61,1491.14
2022-08-28T01:00:00+01:00,1491.16,1509.56,1478.02,1492.03
2022-08-28T05:00:00+01:00,1491.99,1501.66,1482.05,1496.85
2022-08-28T09:00:00+01:00,1496.85,1503.89,1476.67,1485.56
2022-08-28T13:00:00+01:00,1485.68,1488.98,1459.44,1486.94
2022-08-28T17:00:00+01:00,1486.92,1496.92,1478.9,1483.67
2022-08-28T21:00:00+01:00,1483.67,1491.75,1424.35,1426.27
2022-08-29T01:00:00+01:00,1426.21,1461.99,1422.76,1456.13
2022-08-29T05:00:00+01:00,1456.1,1462.01,1440.01,1454.12
2022-08-29T09:00:00+01:00,1454.24,1455.84,1442.36,1448.48
2022-08-29T13:00:00+01:00,1448.48,1529.84,1447.26,1521.36
2022-08-29T17:00:00+01:00,1521.45,1544.96,1520.35,1530.71
2022-08-29T21:00:00+01:00,1530.74,1559.54,1529.68,1552.56
2022-08-30T01:00:00+01:00,1552.31,1554.39,1524.64,1543.95
2022-08-30T05:00:00+01:00,1543.68,1599.29,1543.25,1587.27
2022-08-30T09:00:00+01:00,1587.36,1604.86,1576.69,1584.77
2022-08-30T13:00:00+01:00,1584.77,1592.23,1510.93,1525.32
2022-08-30T17:00:00+01:00,1527.04,1567.82,1474.95,1543.79
2022-08-30T21:00:00+01:00,1544.72,1565,1517.82,1524.22
2022-08-31T01:00:00+01:00,1524.7,1613.68,1524.09,1606.18
